ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS17fdl,135.885115,-21.333675,0.524,0.362,0.269
ATLAS17jed,28.256245,12.71298,0.175,0.121,0.09
ATLAS17jvk,54.438205,72.532953,1.131,0.783,0.581
ATLAS17kfx,40.951781,32.526017,0.595,0.412,0.306
ATLAS17kom,32.116575,6.387851,0.18,0.124,0.093
ATLAS17koq,38.875728,-9.354185,0.089,0.062,0.046
ATLAS17kqb,66.816436,32.628572,1.325,0.916,0.681
ATLAS17kuo,95.39505,-27.214875,0.141,0.098,0.073
ATLAS17kym,352.973179,-5.012102,0.151,0.104,0.077
ATLAS17lbl,52.392734,10.973159,1.506,1.042,0.774
ATLAS17lcr,65.843048,25.411267,2.135,1.477,1.098
ATLAS17lcs,288.34215,-16.801278,0.386,0.267,0.198
ATLAS17lfi,333.283005,-22.122334,0.117,0.081,0.06
ATLAS17lfk,295.917878,56.110045,0.411,0.285,0.211
ATLAS17lrk,0.955074,7.466747,0.209,0.144,0.107
ATLAS17lsm,111.905627,35.608479,0.18,0.125,0.093
ATLAS17lsn,0.960772,-11.474633,0.109,0.075,0.056
ATLAS17lsp,359.091205,32.456691,0.142,0.098,0.073
ATLAS17lsr,132.421118,-8.092005,0.14,0.097,0.072
ATLAS17lss,39.098773,31.709664,0.45,0.311,0.231
ATLAS17lsv,45.640449,2.193947,0.334,0.231,0.172
ATLAS17lsw,292.090026,56.579364,0.303,0.209,0.156
ATLAS17luc,67.707812,-5.803632,0.181,0.125,0.093
ATLAS17lyk,30.281734,31.889047,0.202,0.14,0.104
ATLAS17lyl,30.061724,31.419048,0.154,0.107,0.079
ATLAS17mai,7.622495,-8.7803,0.144,0.1,0.074
ATLAS17maj,75.804555,-22.833002,0.118,0.082,0.061
ATLAS17mal,355.444951,-1.35088,0.1,0.069,0.052
ATLAS17mat,84.131904,16.642375,1.871,1.294,0.962
ATLAS17mcf,327.083876,-34.952873,0.094,0.065,0.049
ATLAS17mcj,146.452192,-14.368398,0.199,0.138,0.103
ATLAS17mdo,330.137168,-27.224855,0.083,0.057,0.043
ATLAS17mgh,77.182681,70.475692,0.446,0.309,0.229
ATLAS17mgt,39.010699,43.472083,0.296,0.205,0.152
ATLAS17mlr,30.07274,31.44098,0.154,0.107,0.079
ATLAS17mmd,16.887776,32.408227,0.234,0.162,0.12
ATLAS17mnm,159.059163,-8.340799,0.11,0.076,0.056
ATLAS17msi,79.834528,-17.611566,0.246,0.17,0.126
ATLAS17muu,131.799107,-33.753016,1.282,0.887,0.659
ATLAS17mva,292.453526,35.68047,0.424,0.293,0.218
ATLAS17mvm,316.41257,11.408829,0.265,0.183,0.136
ATLAS17mvs,69.961446,7.065311,0.59,0.408,0.303
ATLAS17mvy,161.627009,-16.646967,0.12,0.083,0.062
ATLAS17mwi,62.259031,-1.160067,0.416,0.288,0.214
ATLAS17mwv,334.065999,40.059997,0.682,0.472,0.351
ATLAS17mwx,172.27705,8.98849,0.152,0.105,0.078
ATLAS17myh,123.930799,-28.85546,1.302,0.901,0.669
ATLAS17nan,32.387518,21.249009,0.403,0.279,0.207
ATLAS17naq,107.671157,6.461467,0.439,0.303,0.225
ATLAS17nbe,71.602216,63.852347,1.445,0.999,0.743
ATLAS17nby,326.095693,-29.916386,0.149,0.103,0.077
ATLAS17ncv,101.946443,31.337012,0.427,0.295,0.219
ATLAS17ndq,137.007138,27.251311,0.099,0.068,0.051
ATLAS17nfa,184.514085,-1.051048,0.098,0.068,0.051
ATLAS17ngb,40.919166,-24.197985,0.094,0.065,0.048
ATLAS17nhc,75.833973,18.450842,1.943,1.344,0.999
ATLAS17nip,236.853204,68.786517,0.096,0.067,0.049
ATLAS17njc,175.706852,77.370242,0.175,0.121,0.09
ATLAS17njd,170.877149,63.366565,0.039,0.027,0.02
ATLAS17njh,52.835971,4.131829,0.681,0.471,0.35
ATLAS17nmh,198.30069,-19.520876,0.316,0.219,0.163
ATLAS17nmi,196.350041,56.324155,0.063,0.043,0.032
ATLAS17nmu,167.685707,4.847392,0.204,0.141,0.105
ATLAS17nng,77.955694,67.487556,0.443,0.307,0.228
ATLAS17nnr,186.185546,-37.312703,0.294,0.203,0.151
ATLAS17nph,204.90105,-11.48219,0.248,0.172,0.128
ATLAS17nsa,181.814728,67.229978,0.061,0.042,0.031
ATLAS17nse,92.23672,-27.795851,0.1,0.069,0.051
ATLAS17nsg,116.762733,26.773871,0.124,0.086,0.064
ATLAS17nsj,203.300388,-16.118316,0.293,0.202,0.15
ATLAS17nsw,340.494269,20.270256,0.163,0.113,0.084
ATLAS17ntk,307.207419,-4.382611,0.186,0.129,0.096
ATLAS17nua,183.111952,29.149185,0.069,0.048,0.036
ATLAS17nvq,50.695697,0.148218,0.413,0.286,0.213
ATLAS17nwg,359.502919,-41.534085,0.047,0.033,0.024
ATLAS17nwi,290.380828,61.147813,0.226,0.156,0.116
ATLAS17nwj,105.73122,62.772414,0.179,0.124,0.092
ATLAS17nwq,53.303201,36.189695,0.906,0.627,0.466
ATLAS17nyp,123.378278,71.429055,0.087,0.06,0.045
ATLAS17nzc,234.13633,16.605583,0.179,0.124,0.092
ATLAS17nzs,160.088707,-46.419572,0.513,0.355,0.264
ATLAS17odb,274.38411,19.444505,0.486,0.336,0.25
ATLAS17odg,336.701746,35.518966,0.477,0.33,0.245
ATLAS17odi,123.320672,22.648308,0.147,0.102,0.075
ATLAS17odj,154.078061,-33.56366,0.317,0.219,0.163
