ATLAS Name,RA (degrees),Dec (degrees)
ATLAS17fdl,135.885115,-21.333675
ATLAS17jed,28.256245,12.71298
ATLAS17jvk,54.438205,72.532953
ATLAS17kfx,40.951781,32.526017
ATLAS17kom,32.116575,6.387851
ATLAS17koq,38.875728,-9.354185
ATLAS17kqb,66.816436,32.628572
ATLAS17kuo,95.39505,-27.214875
ATLAS17kym,352.973179,-5.012102
ATLAS17lbl,52.392734,10.973159
ATLAS17lcr,65.843048,25.411267
ATLAS17lcs,288.34215,-16.801278
ATLAS17lfi,333.283005,-22.122334
ATLAS17lfk,295.917878,56.110045
ATLAS17lrk,0.955074,7.466747
ATLAS17lsm,111.905627,35.608479
ATLAS17lsn,0.960772,-11.474633
ATLAS17lsp,359.091205,32.456691
ATLAS17lsr,132.421118,-8.092005
ATLAS17lss,39.098773,31.709664
ATLAS17lsv,45.640449,2.193947
ATLAS17lsw,292.090026,56.579364
ATLAS17luc,67.707812,-5.803632
ATLAS17lyk,30.281734,31.889047
ATLAS17lyl,30.061724,31.419048
ATLAS17mai,7.622495,-8.7803
ATLAS17maj,75.804555,-22.833002
ATLAS17mal,355.444951,-1.35088
ATLAS17mat,84.131904,16.642375
ATLAS17mcf,327.083876,-34.952873
ATLAS17mcj,146.452192,-14.368398
ATLAS17mdo,330.137168,-27.224855
ATLAS17mgh,77.182681,70.475692
ATLAS17mgt,39.010699,43.472083
ATLAS17mlr,30.07274,31.44098
ATLAS17mmd,16.887776,32.408227
ATLAS17mnm,159.059163,-8.340799
ATLAS17msi,79.834528,-17.611566
ATLAS17muu,131.799107,-33.753016
ATLAS17mva,292.453526,35.68047
ATLAS17mvm,316.41257,11.408829
ATLAS17mvs,69.961446,7.065311
ATLAS17mvy,161.627009,-16.646967
ATLAS17mwi,62.259031,-1.160067
ATLAS17mwv,334.065999,40.059997
ATLAS17mwx,172.27705,8.98849
ATLAS17myh,123.930799,-28.85546
ATLAS17nan,32.387518,21.249009
ATLAS17naq,107.671157,6.461467
ATLAS17nbe,71.602216,63.852347
ATLAS17nby,326.095693,-29.916386
ATLAS17ncv,101.946443,31.337012
ATLAS17ndq,137.007138,27.251311
ATLAS17nfa,184.514085,-1.051048
ATLAS17ngb,40.919166,-24.197985
ATLAS17nhc,75.833973,18.450842
ATLAS17nip,236.853204,68.786517
ATLAS17njc,175.706852,77.370242
ATLAS17njd,170.877149,63.366565
ATLAS17njh,52.835971,4.131829
ATLAS17nmh,198.30069,-19.520876
ATLAS17nmi,196.350041,56.324155
ATLAS17nmu,167.685707,4.847392
ATLAS17nng,77.955694,67.487556
ATLAS17nnr,186.185546,-37.312703
ATLAS17nph,204.90105,-11.48219
ATLAS17nsa,181.814728,67.229978
ATLAS17nse,92.23672,-27.795851
ATLAS17nsg,116.762733,26.773871
ATLAS17nsj,203.300388,-16.118316
ATLAS17nsw,340.494269,20.270256
ATLAS17ntk,307.207419,-4.382611
ATLAS17nua,183.111952,29.149185
ATLAS17nvq,50.695697,0.148218
ATLAS17nwg,359.502919,-41.534085
ATLAS17nwi,290.380828,61.147813
ATLAS17nwj,105.73122,62.772414
ATLAS17nwq,53.303201,36.189695
ATLAS17nyp,123.378278,71.429055
ATLAS17nzc,234.13633,16.605583
ATLAS17nzs,160.088707,-46.419572
ATLAS17odb,274.38411,19.444505
ATLAS17odg,336.701746,35.518966
ATLAS17odi,123.320672,22.648308
ATLAS17odj,154.078061,-33.56366
ATLAS17odk,148.333418,-18.419385
ATLAS17odl,209.609403,-34.516078
ATLAS17odm,292.625122,-0.47088
ATLAS17odn,300.937216,-27.988423
ATLAS17odo,12.022523,-2.789716
ATLAS17odq,151.677627,51.273009
ATLAS17odr,103.994977,-36.464967
ATLAS17ods,88.723463,46.439426
ATLAS18aac,230.715384,-5.000148
ATLAS18aal,211.596893,50.722074
ATLAS18aan,203.838043,-34.207478
ATLAS18aat,187.407599,7.8265
ATLAS18aba,348.688045,4.530748
ATLAS18bahh,51.508933,-17.562916
ATLAS18bbdr,171.677173,20.726959
ATLAS18bbds,157.468158,20.669373
ATLAS18bbdt,120.029826,58.70973
ATLAS18bbes,28.825813,5.492934
ATLAS18bbfv,204.833701,34.688811
ATLAS18bbhe,204.833701,34.688811
ATLAS18bbtb,192.104043,-5.794193
ATLAS18bbtc,179.98753,-0.55048
ATLAS18bbtd,172.885239,-2.309388
ATLAS18bbtk,153.039664,-38.883667
ATLAS18bbtu,341.906734,39.880595
ATLAS18bbuh,333.669294,-27.464567
ATLAS18bbwp,146.806847,-24.868507
ATLAS18bbzi,137.350326,-8.180262
ATLAS18bcbn,334.033006,-36.848897
ATLAS18bcde,55.179453,-6.42331
ATLAS18bcfv,190.672474,13.265253
ATLAS18bcfw,196.651369,27.873941
ATLAS18bchn,87.644339,13.299235
ATLAS18bcij,3.260289,22.102226
ATLAS18bcld,353.652011,-4.534546
ATLAS18bcle,142.229672,49.238139
ATLAS18bclf,138.730065,46.90251
ATLAS18bclg,217.133228,27.408473
ATLAS18bclh,151.449824,-17.434409
ATLAS18bcli,35.670157,28.25692
ATLAS18bclj,125.922674,21.434921
ATLAS18bclk,317.579208,-29.522848
ATLAS18bcll,17.846862,13.160264
ATLAS18bclm,165.493961,45.227603
ATLAS18bcln,14.724817,-24.19647
ATLAS18bclo,195.921592,-11.598449
ATLAS18bclp,207.199202,6.355218
ATLAS18bclq,165.189059,22.287428
ATLAS18bclr,27.710405,48.353692
ATLAS18bcls,204.37256,4.10466
ATLAS18bclt,192.832733,21.230289
ATLAS18bclu,212.256108,-30.557925
ATLAS18bclv,193.922061,27.249859
ATLAS18bclw,180.779262,20.805708
ATLAS18bclx,213.576717,10.678256
ATLAS18bcly,61.486321,-15.145443
ATLAS18bclz,156.961716,-43.901998
ATLAS18bcma,102.773995,12.915456
ATLAS18bcmb,53.582302,39.593072
ATLAS18bcmc,207.074017,3.945747
ATLAS18bcmd,59.976278,67.532745
ATLAS18bcme,180.884964,-43.654842
ATLAS18bcmf,24.023091,11.688216
ATLAS18bcmg,97.622679,74.444385
ATLAS18bcmh,223.833973,16.506745
ATLAS18bcmi,201.379396,-14.354883
ATLAS18bcmj,284.351079,-19.570849
ATLAS18bcmk,210.83716,-0.548658
ATLAS18bcmm,217.239766,11.191664
ATLAS18ebh,121.394096,-11.438003
ATLAS18ebi,163.504332,-16.022679
ATLAS18ebw,136.499091,35.373226
ATLAS18ebx,197.164714,-41.454546
ATLAS18eby,336.185165,12.360595
ATLAS18eca,199.238944,-16.617828
ATLAS18ecb,149.525503,10.359296
ATLAS18lrl,199.980596,-47.284858
ATLAS18ltg,161.637786,13.741886
ATLAS18ltl,133.419053,-25.058878
ATLAS18lun,248.009504,78.211368
ATLAS18lww,29.33514,40.602497
ATLAS18lwy,136.664902,19.3381
ATLAS18lzd,97.607043,40.067325
ATLAS18mbq,194.201599,3.890955
ATLAS18mbv,178.744633,6.329804
ATLAS18mci,178.23236,36.986233
ATLAS18mcm,216.797656,-2.269739
ATLAS18mdq,5.55718,10.491053
ATLAS18mfr,227.356315,25.471544
ATLAS18mgv,291.831447,65.565073
ATLAS18mhq,193.451123,-39.69708
ATLAS18mid,80.634849,-11.487222
ATLAS18miu,103.525041,8.572474
ATLAS18mix,94.51336,78.366945
ATLAS18mjd,207.169728,43.418414
ATLAS18mkz,205.682987,-24.335084
ATLAS18mla,126.039175,57.287001
ATLAS18mle,153.451128,38.763139
ATLAS18mlg,210.912615,-33.978601
ATLAS18mok,186.493843,4.474073
ATLAS18mrg,195.811265,7.802255
ATLAS18mti,119.85423,16.426283
ATLAS18mtp,243.753339,31.071939
ATLAS18mtq,224.289617,19.699985
ATLAS18muy,129.131064,-11.828012
ATLAS18muz,218.333257,41.267311
ATLAS18mvk,245.78262,39.314966
ATLAS18mvm,96.765683,-25.639829
ATLAS18myy,181.361129,20.299126
ATLAS18mza,182.659262,39.39664
ATLAS18mzc,177.757564,-28.744079
ATLAS18mzf,162.106062,-25.159951
ATLAS18mzg,172.805541,34.201038
ATLAS18mzh,161.402365,-23.003013
ATLAS18mzi,150.846833,-26.182247
ATLAS18neu,53.478937,68.114936
ATLAS18nfn,203.468944,-37.732975
ATLAS18nfo,210.517186,-25.661428
ATLAS18nfu,191.27187,-44.006412
ATLAS18nlu,109.483074,40.985522
ATLAS18nsp,175.283191,24.819664
ATLAS18ntn,269.417718,50.038647
ATLAS18nun,255.774556,-10.742471
ATLAS18nvi,233.006522,68.241909
ATLAS18nvj,166.066679,50.030629
ATLAS18odq,188.934686,-0.221193
ATLAS18odr,176.436765,-11.788067
ATLAS18ofk,261.413157,59.44678
ATLAS18ojz,223.598375,73.178334
ATLAS18piz,217.129029,37.067841
ATLAS18pjs,279.304402,36.93497
ATLAS18ppg,215.181027,13.695373
ATLAS18pzo,205.327502,-4.346295
ATLAS18qap,277.738784,29.879817
ATLAS18qch,152.617563,2.230211
ATLAS18qga,344.227393,-37.339487
ATLAS18qgb,3.507145,-23.193202
ATLAS18qlj,234.686912,-3.276356
ATLAS18qpu,331.405649,44.837676
ATLAS18qpy,254.770989,47.236449
ATLAS18qqn,244.000944,22.268028
ATLAS18qtd,145.089448,-6.98881
ATLAS18qzm,246.096324,-34.252369
ATLAS18qzn,209.420481,17.508095
ATLAS18ron,188.845704,29.492191
ATLAS18rpi,295.395067,3.658096
ATLAS18rpj,194.788018,37.316731
ATLAS18rqk,281.559838,35.968694
ATLAS18rrm,190.682766,34.107358
ATLAS18rso,21.466808,-1.367085
ATLAS18rsp,12.771915,-7.063264
ATLAS18rub,233.535371,56.696857
ATLAS18ruv,201.404777,36.384447
ATLAS18rvf,332.058941,-25.061479
ATLAS18rvl,22.613272,-26.784929
ATLAS18ryg,185.19292,-6.967143
ATLAS18rzj,267.02214,52.223704
ATLAS18sae,212.464064,-30.741188
ATLAS18saf,325.88723,43.549478
ATLAS18sag,211.644597,-5.450462
ATLAS18sah,209.660274,7.217086
ATLAS18sdr,313.829404,0.538551
ATLAS18sea,222.324962,-30.289527
ATLAS18shv,330.173786,19.666148
ATLAS18sjz,274.05451,55.590902
ATLAS18skj,307.148171,25.735655
ATLAS18sld,310.479122,64.214626
ATLAS18sli,24.722176,-42.589554
ATLAS18snp,173.178751,62.432681
ATLAS18sqt,54.896394,-6.325052
ATLAS18ssn,3.360428,17.488762
ATLAS18sst,221.290559,9.273833
ATLAS18svs,332.648582,-27.249638
ATLAS18svt,211.643285,-34.301133
ATLAS18swa,229.869277,-9.880531
ATLAS18swj,275.7886,21.248987
ATLAS18swn,233.950683,21.738814
ATLAS18swt,336.1015,18.071943
ATLAS18taz,352.471747,27.378021
ATLAS18tbb,226.461333,16.258467
ATLAS18tch,307.050227,-3.13634
ATLAS18tfh,206.663252,-9.643337
ATLAS18tht,243.586174,3.231973
ATLAS18tmf,275.659052,15.696603
ATLAS18tvh,257.54654,21.649087
ATLAS18twh,308.271814,-20.856775
ATLAS18twl,77.889408,-21.269519
ATLAS18tzu,18.825431,-6.859035
ATLAS18uag,351.317423,13.934074
ATLAS18uca,13.845262,30.487512
ATLAS18ucm,239.548772,19.765246
ATLAS18ucy,303.124896,-44.109936
ATLAS18ucz,96.158324,-23.733041
ATLAS18udk,359.928386,34.344458
ATLAS18udq,2.36062,47.354079
ATLAS18uef,204.01578,66.30122
ATLAS18ugc,32.906001,34.04191
ATLAS18ujx,309.365699,-37.721366
ATLAS18ukf,72.477315,-41.938127
ATLAS18ukg,29.431267,35.909756
ATLAS18ukx,12.350779,-20.432595
ATLAS18uxb,315.630363,-5.624993
ATLAS18van,42.032083,21.528629
ATLAS18vft,104.614699,-28.7635
ATLAS18vio,228.546613,-14.349806
ATLAS18vis,34.064903,28.591293
ATLAS18vlu,46.729772,41.509089
ATLAS18voc,66.262553,-14.613279
ATLAS18voe,62.298105,8.647403
ATLAS18vrd,346.885591,23.005805
ATLAS18vre,84.195513,-22.410966
ATLAS18vrq,277.033885,34.304284
ATLAS18vrr,144.622134,76.319922
ATLAS18vtr,43.900127,43.057579
ATLAS18vts,117.790156,62.086688
ATLAS18vyq,354.880162,-3.148647
ATLAS18wbz,66.704071,29.952294
ATLAS18wrq,43.953879,1.07848
ATLAS18wtk,44.08864,-32.185741
ATLAS18wtl,75.192391,-29.858954
ATLAS18wwq,51.23159,-2.822149
ATLAS18xaz,249.065708,66.24025
ATLAS18xml,54.867122,-13.117329
ATLAS18xnd,332.2071,38.151378
ATLAS18xor,115.76943,50.289615
ATLAS18xsq,133.234096,42.41292
ATLAS18xsr,140.823685,42.380138
ATLAS18xtq,354.300388,40.721772
ATLAS18xuo,113.538023,4.549278
ATLAS18yaz,330.393839,-17.462541
ATLAS18yco,39.616049,29.759004
ATLAS18zjj,119.630742,26.120904
ATLAS18zkg,186.550324,58.314147
ATLAS18zkk,125.072237,20.875609
ATLAS18zkl,126.127295,18.604246
ATLAS18zkn,125.740278,27.702876
ATLAS18zmo,49.211297,80.784603
ATLAS18zmp,171.838423,59.630116
ATLAS18zmt,46.512062,-15.611658
ATLAS18zmx,7.834188,30.793047
ATLAS18zna,336.973308,19.46069
ATLAS18zoc,49.484421,-0.169622
ATLAS18zot,40.671985,-0.008831
ATLAS18zro,35.290854,-4.073238
ATLAS18zrw,125.367425,3.164563
ATLAS18zrx,142.729552,-4.571245
ATLAS18zvg,136.15379,-19.785987
ATLAS18zvh,170.888481,-8.651327
ATLAS18zvl,145.632788,7.096077
ATLAS18zvy,144.036421,6.257489
ATLAS19aaj,94.110507,-21.375705
ATLAS19aal,61.263801,25.261941
ATLAS19aar,195.060504,27.956784
ATLAS19aat,240.677001,15.236462
ATLAS19aau,106.148593,17.569599
ATLAS19aaw,179.318372,36.416709
ATLAS19aaz,27.794415,-3.490237
ATLAS19abc,95.591183,29.322916
ATLAS19aep,328.920779,24.90571
ATLAS19ahg,55.580856,30.159108
ATLAS19ahm,192.904903,12.573354
ATLAS19asd,156.822595,26.5331
ATLAS19awe,180.650614,4.549562
ATLAS19bab,157.341566,29.510638
ATLAS19bael,32.37655,-6.967203
ATLAS19bagd,165.569623,44.334811
ATLAS19bagn,168.813843,-27.653284
ATLAS19bakx,155.017249,-37.997805
ATLAS19baky,129.690207,-14.680212
ATLAS19bakz,193.673761,28.942154
ATLAS19bala,6.564553,21.809991
ATLAS19baor,13.59341,31.670221
ATLAS19bati,32.524143,-32.938836
ATLAS19baum,12.920234,-13.318251
ATLAS19bavv,184.927212,-12.225707
ATLAS19bays,143.81012,13.13473
ATLAS19bbfc,203.076619,7.940446
ATLAS19bbhr,46.089368,-16.02413
ATLAS19bbhu,186.68198,56.075799
ATLAS19bbhw,167.255119,-14.636178
ATLAS19bbmq,181.448285,-27.94403
ATLAS19bbmr,166.00093,-18.776507
ATLAS19bbmt,194.859353,27.997477
ATLAS19bbun,104.646692,45.20879
ATLAS19bchy,299.61893,62.13773
ATLAS19bcjh,180.678042,1.984346
ATLAS19bcjk,169.632964,-12.140354
ATLAS19bcrg,199.08642,30.680175
ATLAS19bctg,350.146561,-0.880854
ATLAS19bcyv,176.538457,20.447704
ATLAS19bdc,48.05629,67.409715
ATLAS19bdcc,208.230622,3.028967
ATLAS19bdcu,217.283878,27.450232
ATLAS19bddm,214.222775,10.797864
ATLAS19bdho,32.904545,34.041365
ATLAS19bdir,141.966152,68.411822
ATLAS19bdm,345.730065,8.40283
ATLAS19bdst,229.499568,13.526278
ATLAS19bdsz,158.959773,-34.272692
ATLAS19bdtf,40.890124,-38.6252
ATLAS19bdu,34.498386,14.533477
ATLAS19beci,40.997888,32.528347
ATLAS19beck,152.734936,1.071472
ATLAS19becv,59.594691,6.71541
ATLAS19benc,191.283906,-0.459074
ATLAS19bfk,190.65169,-40.746326
ATLAS19bfl,204.181652,-31.836638
ATLAS19bfni,186.840994,64.799937
ATLAS19bfnp,203.833153,7.468987
ATLAS19bfod,214.133889,57.807989
ATLAS19bfsp,158.770095,46.560663
ATLAS19bfsq,184.880197,49.814214
ATLAS19bfsr,44.163823,47.526367
ATLAS19bfss,94.376892,62.491078
ATLAS19bfst,118.571979,14.273127
ATLAS19bfsu,6.094199,38.197357
ATLAS19bfsv,29.711599,-9.58484
ATLAS19bfsw,234.658839,36.958648
ATLAS19bfsx,334.020751,-26.678561
ATLAS19bfsy,331.906929,22.061155
ATLAS19bfta,9.89579,0.867864
ATLAS19bftb,221.883498,-19.766008
ATLAS19bftc,211.506629,12.780688
ATLAS19bftd,288.152806,-19.417088
ATLAS19bfte,263.521363,-14.808853
ATLAS19bftf,305.371822,59.740645
ATLAS19bfth,305.869669,-47.17489
ATLAS19bfti,231.185317,68.728787
ATLAS19bftj,78.941285,34.229417
ATLAS19boq,180.652512,41.061642
ATLAS19bqg,203.811193,44.766291
ATLAS19bqp,198.596115,30.485189
